course_code,name,units,min_units,max_units,offered_qatar,offered_pitts,short_name,description,dep_code,prereqs_text
36-204,Discovering the Data Universe,3,3,3,True,True,DISCVR DATA,"Every day we wake up in the data universe, we use the information around us to make decisions. We are constantly evaluating and interpreting data from our environment, in everything from spreadsheets to Instagram posts. At the same time, our own personal data are being observed and recordedthrough websites we visit online, our smart devices, and even our interactions with other students and faculty at CMU. Navigating this data universe requires knowledge of what data is and how to use it responsibly. For example, can a plant be a data set Discovering the truth behind a piece of data, including who made it, what it looks like, and what we can learn from it, is a critical skill. Understanding data can be the difference between being able to distinguish truth from lies and the key to identifying your data footprint and succeeding in research and in your career. In this course, we will explore the data universe from multiple angles and across several types of data. We will define, find, and analyze data, and most importantly, identify narratives within data to tell stories about the world around us. We will examine data using the following questions How can we tell multiple stories from the same dataset What biases can exist in data And, who creates or decides what data matters enough to collect, preserve, and share NOTE There will be one in person and one virtual prerecorded lecture each week.",36,
80-516,Causality and Machine Learning,9,9,9,True,False,CAUSALITY & ML,"In the past decades, significant progress has been made in tackling longstanding causality problems, such as discovering causality from observational data and inferring causal effects. Moreover, it has recently been shown that the causal perspective aids in understanding and solving various machine learning problems such as transfer learning, outofdistribution prediction, disentanglement, representation learning, and adversarial vulnerability. Accordingly, this course is concerned with understanding causality, learning it from observational data, and using it to tackle other learning problems.The course covers representations of causal models, how causality is different from association, methods for causal discovery and causal representation learning, and how causality enhances advanced learning tasks, including generative AI. We will address the following questions. Why is causality essential How can we learn it, including latent variables, from observational data What role does causality play in learning under data heterogeneity Can causal principles make generative AI more controllable and capable of extrapolation How can deep learning benefit from a causal perspective Two main causality problems are emphasized. One is causal discovery or causal representation learning. It is well known that correlation does not imply causality, but we will make it more precise by asking what assumptions, what information in the data, and what procedures enable us to successfully recover causal information. Causal relations may happen among the underlying hidden variableswe will also see how to uncover the underlying hidden causal variables as well as their causal relations from the measured variables. The other is how to properly make use of causal information. This includes identification of causal effects, counterfactual reasoning, and improving machine learning with causal knowledge.",80,
76-485,The New Public Sphere,9,9,9,True,False,THE NEW PUB SPHERE,"Public deliberation about issues that matter to us is at the heart of the rhetorical tradition. But is meaningful public dialogue really a live option in a divisive, mediasaturated world of sound bites addressed to partisan publics  Moreover, is the process of debate, deliberation, and decision making in which the best argument wins really the normal or even ideal model  Or can people use local public spaces to develop new, more inclusive positions  How might such a process create a boundarycrossing public in which diverse groups enter intercultural deliberation around racial, social, economic or environmental issues  This course looks at critical ways people use rhetoric to take literate social action within local publics. From the debate spurred by Habermass canonical version of the public sphere, we move to a feminist rereading of the Greek Sophists, to more contemporary studies of deliberation in workplaces, web forums, grassroots groups, new media, and community think tanks.  Working as a rhetorical consultant into the meaning making process of a local public of your choice, you will also learn how to support your inquiry with a variety of methods, from an interactive activity analysis to a more focused probe into the socialcognitive negotiation conflict may require.",76,76-373 [] at least D
09-510,Chemistry and Sustainability,9,9,9,True,False,CMSTY & SUSTAIN,"This course aims to educate students in the foundations of systematic leadership for building a sustainable world. Many sustainability challenges are associated with commercial chemicals and with operational modes of the chemical enterprise. For scientists, effectiveness in solving the technical challenges and redirecting cultural behavior is the defining substance of sustainability leadership. The course aims to challenge students to analyze and understand the root causes of unsustainability, especially in the technological and cultural dimensions of the chemical enterprise, to imagine a more sustainable world and to begin to define personal leadership missions. Students will be introduced to sustainability ethics as the foundation stone of transformative sustainability leadership, to the Collins Code of Sustainability Ethics and to other guiding tools. The Collins Bookcase of Green Science Challenges organizes the technical content. It systematizes the major chemical sustainability challenges of our time clean synthesis, renewable feedstocks, safe energy, elemental pollutants, persistent molecular toxicants and endocrine disruptors. Focal areas will be the technical, toxicological and cultural histories of elemental and molecular pollutants and endocrine disruptor ED science. EDs represent the single greatest sustainability challenge of everyday chemicals all while we are just beginning to recognize an emerging threat to health and the environment from micro and nanoplastics which are finding their way into human tissues.  The course is intended for upper level undergraduates and graduates, although many brilliant freshmen have thrived in the course.  The class is limited to 25 students. The assignments are common to both undergraduate and graduate classes offerings with graduates taking additional assignments. Undergraduate course 9 units 09510. Graduate course 12 units 09710 3 hrs. lec.",9,
79-281,Introduction to Religion,9,9,9,True,False,INTRO TO RELIGION,"Religion can be understood from the outside, through the academic lenses of history, sociology, psychology, philosophy, etc., and from the inside, listening to the experiences and reflections of those who practice various faiths. The course will examine major religious traditions from several perspectives and begin to explore such topics as the relationship between religion and science, faith and reason, religion and moral values, and religion in public life. This introduction is designed for students with a general interest in religion, as well as those contemplating a Religious Studies minor.",79,
66-134,DC Grand Challenge First-Year Seminar: Native Americas: Facts and Fictions,9,9,9,True,False,DC FIRST-YR SEMINAR,"How did Indigenous people respond to the challenges of populating the American hemisphere and creating complex, diverse and dynamic cultures, languages and political entities How did they survive, adapt to, and resist the conquest and colonization of their lands, and ensuing social and cultural dislocations How have they resurged politically, culturally, artistically and intellectually in recent years This course considers the history, experiences, and perspectives of native populations across the Americas. It seeks to reckon with the facts of the Native American experience, while challenging the fictions of stereotypes and narratives that have often relegated Indigenous people to the social and cultural margins of the nations in which they now live. After introducing students to a few of the myriad Indigenous groups of North, Central and South America, we will then survey the implications of the era of European conquest and colonization. Well consider the implications of the rise of new nations in the Americas, as new and intensifying campaigns of violence were unleashed against Indigenous populations. We will consider the rise of Native American civil rights and political and cultural sovereignty movements from the late 20th century forward, as they coalesced into major political challenges to native marginalization and demands for recognition and reparation of historical injustices. Finally, we will explore how contemporary Indigenous artists, authors, and political and social activists are reimagining indigeneity the condition and experience of being Indigenous in ways that demonstrate how indigeneity is not a fixed kind of identity, not one that is confined or defined in any way by a static conception of tradition, but rather one that challenges the present and reimagines the future in dynamic and creative ways.",66,
15-213,Introduction to Computer Systems,12,12,12,True,True,INTR CMPUTER SYSTEMS,"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systemslevel issues is required. Topics covered include machinelevel code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation. NOTE FOR GRADUATE STUDENTS This course is not open to graduate students beginning Spring 2015. Graduate students must register for 15513 instead.",15,15-122 [] at least C
79-452,Women's Bodies and Cultural Politics,3,3,3,False,True,WMNS BODIES CULT POL,"This course explores the fraught, often shameful, often triumphant, and sometimes deadly cultural ideas and expectations around cisgendered womens bodies. We want to explore what the stories we attach to female bodies mean, who they serve, and whether they are changeable. Are our ideas derived from science or culture And why might it matter Built from a popular U.S. basedcourse on the Pittsburgh campus, this course aims to bring feminist analysis around American cisgendered womens bodies to an audience in Doha, and asks you to build, through class discussion and assignments, your own analyses of how these ideas and concepts work in your own culture. You will no doubt come to different conclusions, which is the goal for you to think independently and analytically, to build your own ideas. The course is organized topically. We will learn some reproductive anatomy and biology including the menstrual cycle, and also survey reproductive politics, sexuality, genderbased violence, and a topic of your choice. It will be heavily discussion based. No prerequisites or prior experience with this material neededopen to all.",79,
70-504,Independent Study in Organizational Behavior,3,3,11,True,True,INDP STDY ORG BEHAV,Students with a special interest in Organizational Behavior not covered by a formal Business course may develop an Independent Study Course in that area.  Readings and work to be completed are by agreement between the student and an individual faculty member.  Enrollment by permission of the BA Program.,70,
33-226,Physics of Energy,9,9,9,True,False,PHYSICS OF ENERGY,"This course will apply basic science, in particular introductory physics concepts, to a wide variety of topics related to energy. The course will closely follow a widely praised textbook The Physics of Energy, so be divided into 3 parts basic energy science energy sources and climate. This course fills the breadth requirement for Physics Majors or can be used as one of the 4 electives required for the Applied Physics Track.",33,(33-122 [] at least D) or (33-152 [] at least D) or (33-142 [] at least D)
82-289,Tutoring for Community Outreach - CMUQ,9,9,9,True,True,TUT COMM ORCH CMUQ,TBA,82,
82-323,"Germany, Austria and Switzerland in the 20th Century",9,9,9,True,False,GER AUS SWZRLND 20 C,"This course advances proficiency in communicative and grammatical skills in the German language and knowledge of Germanspeaking cultures through the study of important events, trends, and people of the twentieth century in Germany, Austria, and Switzerland. Examples will be drawn from literature, newspapers, television, film and other sources. Students will be expected to complete assignments that demonstrate the ability to express critical judgments in both written and oral form, documented through readings and personal research. The course includes a review of the most troublesome points of German grammar.",82,82-222 [] at least D
15-356,Introduction to Cryptography,12,12,12,True,True,INTRO CRYPTOGRAPHY,"This course is aimed as an introduction to modern cryptography. This course will be a mix of applied and theoretical cryptography. We will cover popular primitives such as pseudorandom functions, encryption, signatures, zeroknowledge proofs, multiparty computation, and Blockchains. In addition, we will cover the necessary numbertheoretic background. We will cover formal definitions of security, as well as constructions based on well established assumptions like factoring. Please see the course webpage for a detailed list of topics.",15,(15-251 [] at least C) or (21-228 [] at least D)
76-313,Creative Visual Storytelling in Film Production,9,9,9,True,False,CRTV VIS STY IN FLM,"Visual storytelling cuts to the heart of the filmmaking process, combining all elements of the craft to engage the viewer.  Every picture is comprised of a story, visuals, and, sometimes, sounds.  This class is about learning how to understand and control timebased images to better tell your story.  We will learn essential skills for becoming a creative technological storyteller  how to think visually and aurally.  Fundamental focus will be on understanding the basic visual components using space, tone, line, shape, color, movement and rhythm and how they are used to visually tell a story, define characters, communicate moods, emotions, thoughts and ideas.  We often are not consciously aware of them within a film but are critical in establishing the relationship between story structure and visual structure.  Through readings, film analysis, creative brainstorming, assignments and individual critiques this class will guide each student into translating their creative vision into a short final film.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D))
15-182,Artificial Intelligence for Medicine,6,6,6,False,True,AI FOR MEDICINE,"This course introduces Artificial Intelligence AI and its recent applications in medicine for students with no background in computer science. It starts by motivating and defining AI, before folding over to a survey of some of its newest applications to medicine, including diagnosis, prognosis, drug discovery, and recommendations of individualized treatments, to mention just a few. Afterwards, it provides a birdseye view of some of the major AI techniques, including machine learning, deep neural networks, recommendation systems, ranked retrieval, and probabilistic graphical models. Finally, it concludes with a discussion on some of the concerns related to AI, including ethical issues, job security, society, and healthcare institutions, among others",15,
18-330,Introduction to Computer Security,12,12,12,True,False,INTRO TO COMP SEC,"Security is becoming one of the core requirements in the design of critical systems. This course will introduce students to the introlevel fundamental knowledge of computer security and applied cryptography. Students will learn the basic concepts in computer security including software vulnerability analysis and defense, networking and wireless security, and applied cryptography. Students will also learn the fundamental methodology for how to design and analyze security critical systems.",18,18-213 [] at least C
79-393,Institutions of the Roman Church,9,9,9,False,True,INST OF ROMAN CHURCH,"This course is only offered at Carnegie Mellons campus in Qatar. This course will explore the history of the Catholic Church, with a particular focus on the church as an evolving European institution. Although we will have to deal with theological arguments at times, abstract theology will not be the focus of the course. Instead, the course will be centered on two main questions. First, how did the Catholic Church manage to persist, for nearly two millennium, as a stable institutional entity within an everchanging European milieu Secondly, to what degree did the Catholic Church influence andor reflect developments within Western European culture",79,
98-325,Student Taught Courses (StuCo): Taiwan and the World,3,3,3,True,False,STUCO: TAIWAN,"This course attempts to examine the roots and characteristics of crossstrait that is, between Taiwan and the Chinese mainland relationship and focus on understanding the narrative and emotions that have developed around the issue on both sides. This course will be split into 3 parts understanding China, understanding Taiwan, and understanding the interaction between the two under the framework of larger international political trends such as the SinoAmerican rivalry in the region.",98,
98-260,Student Taught Courses (StuCo): Everyday Mindfulness: Pragmatic Peace,3,3,3,True,False,STUCO: MINDFUL,"Mindfulness is a mental state achieved by focusing ones awareness on the present moment. When this is done by calmly acknowledging and accepting ones feelings, thoughts, and bodily sensations, mindfulness can be used as a therapeutic technique. The benefits of mindfulness are well documented and proven. From decreased depression, physical pain reduction, regulation of emotions, decreased anxiety, decreased inflammation, improved academic performance, lessened feelings of stress, and the ability to shorten illness such as the cold and flu, mindfulness is a practice everyone can benefit from, especially CMU students.   Throughout this course we will explore several mindfulness mediation techniques to find the one that best fits into your daily routine. Finding time with a busy schedule to fit in one more thing can be hard, so we will explore techniques from across the world and different cultures so that by the time you leave this class, you will have a daily mindfulness practice that best suits you. Examples of techniques include mindful yoga, expanding spaces, body scanning, visual meditations, and walking everyday mindfulness practices, like the ones from prominent mindfulness practitioners such as Thich Nhat Hanh, and many more.   Come with an open heart and mind, and you are sure to leave this class with a greater sense of inner peace and tranquility.",98,
73-366,Designing the Digital Economy,9,9,9,True,False,DSNG THE DIGITAL ECO,"This class analyzes the economics of ecommerce and technology. It will identify the critical features that differentiate the technology firms from traditional industries, and examine the implications for business strategy. The class will discuss topics such as network effects, switching costs, and platform markets. To complement the economic theory, we will also consider a case study of a firm each week. These have three aims to provide applications for the concepts developed in the lectures to inform you about different industries and to help develop your written, rhetorical and presentation skills.",73,((21-254 [] at least D) or (21-268 [] at least D) or (21-259 [] at least D) or (21-256 [] at least D) or (21-269 [] at least D)) and (73-230 [] at least D) and ((36-208 [] at least D) or (73-265 [] at least D) or (73-374 [] at least C) or (70-208 [] at least D) or (36-226 [] at least D) or (36-220 [] at least D) or (73-274 [] at least D) or (73-407 [] at least D) or (36-202 [] at least D))
07-590,Independent Study in CS Education (Undergraduate),3,3,15,True,False,IND STUDY CS EDUCATN,"Description An independent study course to allow motivated students to work on CS education projects under the supervision of a faculty advisor. Includes the development of a pedagogical study, reading of research papers or texts on CS education, or other suitable activities to learn about the teaching of computer science. Presentation of research or study results required. Independent studies are usually one semester in duration and require prior approval from the faculty advisor and the School of Computer Science.",7,
76-201,Oral Communication,9,9,9,True,False,ORAL COMMUNICATION,"Oral presentations are essential to professional success.  Yet many people find themselves growing weak in the knees at the thought of presenting in front of a group.  They read off of notes, speak too fast, or pepper their speech with nervous filler words such as um or you know.    If this describes you, consider taking Oral Communication.  This class is intended for students who want to boost their confidence in presenting in front of others.  You will learn strategies for structuring the content of a presentation, designing effective presentation slides, and controlling your voice and body language to produce a smooth, confidentsounding oral delivery.  You will also learn communication strategies to help you in interviews and other less formal communication situations.  We will begin with giving short informal presentations and gradually increase the stakes as your confidence improves.  You will have weekly opportunities to practice and improve your skills.  We will also find opportunities to practice in a variety of physical settings so you can envision yourself as a calm, confident speaker no matter your surroundings.  Because this course is based upon practice in front of an audience, attendance is mandatory. In addition to attendance, grades in the course will be based on improvement and effort in order to encourage students to focus on their development rather than on final outcomes.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-108 [] at least D) and (76-107 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D))
99-519,Collaborative Research through Projects- Summer All,6,6,9,True,True,COLLAB RESEARCH,This course has students engage in experiential learning via interdisciplinary projects around a variety of topics determined by each instructor. Students should review the lengthier descriptions for each section posted on the Office of the Vice Provost website under the Academic Resources tab to gain more knowledge of the projects and prerequisites.,99,
76-344,Censored Texts,9,9,9,True,False,CENSORED TEXTS,"Censorship Banned books Book burnings Could it happen here Over the last century some of the most important films and books have book banned, censored, protested and withdrawn from high schools and in rare cases, college courses or public libraries. But artists dont like to be silenced, and many of them have found ways to tell their stories, regardless of the consequences. In this course we will read a handful of books that have all been challenged by parents, school boards, andor library patrons. This year is a special SciFiFantasy version of the course We will read texts including Shirley Jacksons The Lottery and Other Stories, J.D. Madeleine LEngle A Wrinkle in Time, J.K Rowling, Harry Potter and the Sorcerers Stone, Salman Rushdies Satanic Verses, Margaret Atwoods The Handmaidens Tale, Octavia Butlers Kindred, and Chuck Palahniuks, Fight Club. We will also celebrate the American Library Associations banned book week, which is September 25th to October 1.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D))
85-426,Learning in Humans and Machines,9,9,9,True,False,LEARNING HMN MACHINE,"This course explores how probabilistic methods can help to explain cognition and to develop intelligent machines. The applications discussed include perception, language, memory, categorization, reasoning, decisionmaking, and motor control.",85,(15-112 [] at least D)
70-416,New Venture Creation,9,9,9,True,True,NEW VENTURE CREATION,"This course exposes students to the nuances of financing new ventures, getting them started legally and marketing their products or services. Students pull together all the ideas and information from different functional aspects of their projects into coherent and persuasive minibusiness plans that serve as roadmaps for building their businesses and useful instruments to find sufficient financing for the new ventures, so that they can convince the outside world that these opportunities are viable, with substantial potential for success.",70,(15-390 [] at least D) or (70-414 [] at least C) or (70-425 [] at least D) or (70-420 [] at least C) or (70-415 [] at least C) or (70-421 [] at least C)
85-261,Psychopathology,9,9,9,True,False,PSYCHOPATHOLOGY,"The study of psychopathology is not an exact science nor are there many clearcut parameters with which to differentiate normal and abnormal behavior.  This course will focus on learning about and understanding the range of behaviors which fall within the province of abnormal psychology. Its approach will be descriptive, empirical, theoretical, and conceptual. Students will examine definitions of abnormality in a historical and contemporary context, explore issues relevant to diagnosis and patient care, be introduced to various psychological diagnostic categories, and develop an appreciation of the range of empiricallysupported treatments for these disorders.",85,
79-307,Religion and Politics in the Middle East,9,9,9,True,True,RELGN POLTC MDL EAST,"This course looks at the historic relationship among Islam, Judaism and Christianity and what they have to say about the nature of government, the states treatment of religious minorities, and relations among states in the Middle East. We will consider the impact of religion on domestic and foreign policy in selected Middle Eastern countries and communities, the role of religion in fueling conflicts, the phenomenon of religious fundamentalism, the challenge and opportunity this presents to the United States, and the potential for religion to help advance Middle East peace. Over the course of the semester student teams will research and produce updates as to where religion and politics seem to be intersecting in the states we have been studying.",79,
76-446,Revenge Tragedy,9,9,9,True,False,REVENGE,"Attendants to the early modern English theater seem to have had an almost insatiable appetite for revenge tragedy a lurid, bloodsoaked genre distinguished by plots involving insanity, skulls, ghosts, poisonings, stabbings, suicide, and other forms of unnatural death. This course will cover key examples of the genre, putting particular emphasis on the depiction and interrogation of justice, analyses of death, and playful engagement with theatricality. Our central curriculum will include the following plays Thyestes Seneca, The Spanish Tragedy Kyd, Titus Andronicus Shakespeare, Hamlet Shakespeare, The Revengers Tragedy Middleton, and The Duchess of Malfi Webster. We will also read a selection of critical essays and related literature from the period.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D))
84-324,The Future of Democracy,9,9,9,True,False,FUTURE OF DEMOCRACY,"After the Cold War, Francis Fukuyama famously argued that humanity had reached the end of history insofar as liberal democracy had become the last viable form of government. Yet today, illiberal democracies and dictatorships persist, the world has witnessed the return of authoritarian great powers led by China and Russia, and populist movements challenge liberal democracies around the world. What is the future of democracy around the world, and how can we know This course surveys the causes of historical rise and fall of democracy, the methods and pitfalls of democracy promotion, and a variety of challenges to democracy such as nationalism, polarization, and misinformation. By the end, students will be expected to write an intelligence memo and give an oral presentation on the future of democracy in a particular region or country.",84,
79-242,African American History: Reconstruction to the Present,9,9,9,True,False,AFR AMR HST: REC PRS,"This course explores changes in the African American experience from the end of the Civil War to the emerging era of Joe Biden and Kamala Harris.  Through an examination of a wide range of scholarly and popular debates in African American life and history, this course will emphasize transformations in both inter and intrarace relations economic mobility as well as economic inequality and forms of political engagement and grassroots movements for social change. We will explore these developments under the impact of the segregationist regime the Great Migration the rise of the urbanindustrial working class increasing residential segregation growth and expansion of the middle class and the fluorescence of the Modern Black Liberation Movement. Students will compare the dynamics of the contemporary Black Lives Matter Movement with earlier 20th century grassroots social and political movements in African American and U.S. history. Finally, based upon a mix of primary and secondary sources and lectures, students will write a series of short analytical essays and establish their own unique interpretation of key issues in Black History.",79,
69-120,Topics in Health and Physical Activity,3,3,3,True,False,HEALTH AND PE ACT.,"This course is a weekend seminar covering a variety of topicsthe dates for this course are March 141516, the instructor will provide classroom and more updates as the class prepares to begin.This course is designed to expose students to a comprehensive overview of what it means to be healthy, including  stress management strategies, healthy eating habits, importance of sleep, and the benefits of various exercise methods. The course will be presented using both a traditional lecture style, and handson practice.   A few outside speakers will be brought in to speak in their area of expertise.   Students should come prepared to exercise.",69,
80-243,Ethics of Leadership,9,9,9,False,True,ETHICS OF LEADSHIP,"From business operations to international affairs, leadership concerns the use of power or influence to coordinate a group towards common purpose. However, leadership also requires the acceptance of responsibilities not shared with the other groups members. Given their distinctive role and responsibilities, leaders must be prepared to face a unique host of moral problems and dilemmas. In this course, we will pursue the question of what makes a morally good leader, as opposed to a merely effective one. To that end, we will critically examine various competing theories of leadership while considering the moral challenges that arise when power, selfinterest, justice, and the collective good collide.",80,
76-295,Russian Cinema: From the Bolshevik Revolution to Putin's Russia,9,9,9,True,False,RSSN CNMA BLSK PTN,"Last night I was in the kingdom of shadows, said the writer Maxim Gorky in 1896 after seeing a film for the first time. How terrifying to be there Early film inspired fear and fascination in its Russian audiences, and before long became a medium of bold aesthetic and philosophical experimentation. This seminarstyle course surveys the development of Russian and Soviet film, paying equal attention to the formal evolution of the medium and the circumstanceshistorical, cultural, institutionalthat shaped it. We will examine Sergei Eisensteins and Dziga Vertovs experiments with montage in light of the events of the Bolshevik Revolution and the directors engagement with Marxism Georgi Alexandrovs and the Vasiliev brothers Socialist Realist production against the backdrop of Stalinist censorship Andrei Tarkovskys and Kira Muratovas Thawera films within the broader context of New Wave Cinema and the works of contemporary directors, including Aleksei Balabanov, Alexander Sokurov, and Andrey Zvyagintsev, in connection with the shifting social and political landscape of postSoviet Russia. Besides introducing students to the Russian and Soviet cinematic tradition, this course will hone their skills in close visual analysis. No prior knowledge of Russian language or culture is required. The course is conducted in English, but students will have the option to do work in Russian for three extra course units.",76,
79-491,Independent Study,3,3,15,True,True,INDEPENDENT STUDY,An Independent Study is meant for students with a special interest in an area not covered by a formal history course.  Readings and other work are negotiated between the student and an individual faculty member.,79,
70-482,Pricing Strategy,9,9,9,True,True,PRICING STRTGY,"Pricing is a critical marketing decision which enables a firm to translate customer value into profit. This course provides a first survey of pricing concepts. Instead of discussing pricing in isolation, we focus on the interplay between pricing and other aspects of marketing, such as positioning, branding and advertising. To this end, we provide a formal treatment of pricing concepts in the framework of game theory. Finally, we also discuss nonpricing tools that firms can use in order to capture customer value. Specifically, we cover cases wherein firms generate a profit while keeping their services free, a phenomena that is widely observed among Internet firms. This course has no formal prerequisite, but a willingness to study formal i.e., mathematical models is assumed. Any previous exposure to microeconomics analysis and game theory will be helpful.",70,
79-350,Early Christianity,9,9,9,True,False,EARLY CHRISTIANITY,"This course examines the origins of Christianity in historical perspective. Using both Christian and nonChristian sources from the period, we will examine how and why Christianity assumed the form that it did by analyzing its background in the Jewish community of Palestine, its place in the classical world, and its relationship to other religious and philosophical traditions of the time. We will also examine historically how the earliest Christians understood the life and message of Jesus, the debates about belief and practice that arose among them, and the factors influencing the extraordinary spread of the movement in its earliest centuries. This course satisfies one of the elective requirements for the Religious Studies minor.",79,
03-121,Modern Biology,9,9,9,True,True,MODERN BIOLOGY,"This is an introductory course that provides the basis for further studies in biochemistry, cell biology, genetics and molecular biology.  This course emphasizes the chemical principles underlying biological processes and cell structures as well as the analysis of genetics and heredity from a molecular perspective. This is the introductory biology course for all science and nonscience majors.",3,
67-323,Enterprise Systems: Concepts and Practice,9,9,9,False,True,ENTPRS SYS CONCP PRC,"Most organizations including your future employers use enterprise systems to run their business processes such as sales, procurement, and production. This course discusses key business processes in organizations and the role, functions and technical foundations of enterprise systems such as Enterprise Resource Planning ERP systems and Customer Relationship Management CRM systems. Through handson use of enterprise systems in multiple case studies, the students will become familiar with the key concepts in such systems and demonstrate practical knowledge on how such systems allow organizations to run endtoend business processes such as ordertocash or maketoorder. The course also addresses the lifecycle of enterprise systems projects and their various phases such as selection, implementation, operation and maintenance.",67,67-272 [] at least D
70-343,Interpersonal Communication,9,9,9,False,True,INTRPERSNL COMMNCATN,"This course examines various types of interpersonal communication usually found in business situations. Topics covered will vary each semester, but can include business and social etiquette, ethics in business, dressing for success, interviewing skills, leadership skills, listening skills, how to run a successful meeting, intercultural communications, motivating employees, negotiating, networking in business, nonverbal communications, performance appraisals, power communication, telephone skills and teamsmall group communication. Cocurricular events will be required and may include conducting mock interviews, role playing business luncheons and navigating business social events.",70,(70-340 [] at least D) or (76-270 [] at least D)
98-309,Student Taught Courses (StuCo): Build Your Own Startup,3,3,3,True,False,STUCO: TECH STARTUP,"In this dynamic and interactive course, we will take a handson approach to learning about entrepreneurship with a focus on startups in technology, data, green energy, fintech, healthcare, and other areas of student interest. Students will be divided into teams and will work together as potential cofounders throughout the course, giving them a realistic experience of the startup journey. Through engaging lectures, practical exercises, and realworld case studies, we will explore key concepts such as product market fit, marketing strategies, financing a business, and wireframing. Each week, we will delve deeper into one of these topics and students will have the opportunity to apply their understanding to their own startup idea, through regular feedback and mentorship from instructors and guest industry experts. The course will culminate in a final pitch where students will present their startup to the class and instructors, giving them a taste of the realworld experience in incubator and accelerator applications. Grading will be based on the quality of the pitch, the progress made on the startup throughout the course, and participation in class discussions and group work. This course is designed for students who are passionate about entrepreneurship and innovation and want to gain a deeper understanding of the startup ecosystem.",98,
79-215,Environmental Justice from Conservation to Climate Change,9,9,9,True,False,ENVIRONMENT JUSTICE,"What is environmental justice Who are environmental justice activists, what do they believe, and how do they act This course will explore these questions by reading, discussing, and comparing the biographies of famous activists e.g. Rachel Carson, Chico Mendes, Ken SaroWiwa, Wen Bo, Berta Cceres, and Greta Thunberg and notsofamous, everyday people in order to understand how and why they have struggled against disproportionate exposure to pollution, government or corporate usurpation of life sustaining resources, or the loss of a home due to climate change. Course readings and discussions will use historical examples to understand connections between social problems such as racism and environmental problems such as climate change. We will evaluate how social identities, political ideologies, and ecological contexts have influenced the ideas and actions of environmental justice activists. Class discussions, short, written responses to readings, and a final project will encourage students to engage in critical analysis of environmental justice and selfreflect on their individual and collective responsibilities. This course meets the Dietrich Gen Ed Perspectives on Justice and Injustice requirement.",79,
48-240,"History of World Architecture, I",9,9,9,True,False,HIS WLD ARC,"This survey cuts a broad swath through time, geography and cultures, surveying critical episodes in the built environment of Europe, the Middle East, Asia, Africa, and the Americas from ancient times through the nineteenth century. Reflecting the inseparable relation between building and human needs, this course is not only a history of architecture, but also a history through architecture. Over the semester, we will examine architecture as a form of cultural expression unique to its time and place. Through readings and lectures, we will study the ways that the design, use, meaning, and legacy of a building and its site was conditioned not only by the architects will or the patrons desire, but also by a web of technological, religious, social, cultural, economic, and political factors of the time. There will be several exams over the course of the semester including during finals week.",48,
76-411,Long 18th-Century British Media: Performance and Print,9,9,9,True,False,18TH C BRIT MEDIA,"This course invites us to think about late 18th and early 19th century media through the lenses of book history and performance theory. By media we mean print and embodied performances that probably did the most to shape publics and public opinion in this period the theatre and print media such as periodicals, newspapers, poetry, biography, and other prose forms that are often considered ephemeral, but which permeated the reading experiences of the literate and even filtered into the embodied experience of the many British people who did not read. We will begin with materials read and performed at midcentury, moving through the Georgian period into the age of revolution and its aftermath in the early 19th century. As we consider the periods media and its effects, we will read theoretical and critical work in the fields of book history and performance studies in order to understand texts and their historical functions in their material and embodied forms.",76,(76-101 [] at least D) or (76-102 [] at least D) or ((76-106 [] at least D) and (76-107 [] at least D)) or ((76-106 [] at least D) and (76-108 [] at least D)) or ((76-107 [] at least D) and (76-108 [] at least D))
