course_code,requirement
02-223,EY2022 - Qatar Biological Sciences - General Education---STEM Course
02-250,EY2022 - Qatar Biological Sciences - General Education---STEM Course
02-261,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-117,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-121,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-124,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-125,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-128,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-132,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-133,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-135,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-140,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-151,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-161,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-230,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-231,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-232,EY2022 - Qatar Biological Sciences - General Education---STEM Course
03-260,EY2022 - Qatar Biological Sciences - General Education---STEM Course
06-100,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-105,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-106,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-107,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-111,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-214,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-217,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-219,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-221,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-225,EY2022 - Qatar Biological Sciences - General Education---STEM Course
09-348,EY2022 - Qatar Biological Sciences - General Education---STEM Course
12-100,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-110,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-112,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-122,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-150,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-155,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-181,EY2022 - Qatar Biological Sciences - General Education---STEM Course
15-251,EY2022 - Qatar Biological Sciences - General Education---STEM Course
18-100,EY2022 - Qatar Biological Sciences - General Education---STEM Course
19-101,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-127,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-128,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-228,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-240,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-241,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-242,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-259,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-260,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-261,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-268,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-269,EY2022 - Qatar Biological Sciences - General Education---STEM Course
24-101,EY2022 - Qatar Biological Sciences - General Education---STEM Course
27-100,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-121,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-122,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-141,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-142,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-151,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-152,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-211,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-224,EY2022 - Qatar Biological Sciences - General Education---STEM Course
33-225,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-200,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-202,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-217,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-220,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-225,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-247,EY2022 - Qatar Biological Sciences - General Education---STEM Course
36-309,EY2022 - Qatar Biological Sciences - General Education---STEM Course
42-101,EY2022 - Qatar Biological Sciences - General Education---STEM Course
42-202,EY2022 - Qatar Biological Sciences - General Education---STEM Course
85-219,EY2022 - Qatar Biological Sciences - General Education---STEM Course
21-112,BS in Information Systems---Technical Core---Mathematics
21-120,BS in Information Systems---Technical Core---Mathematics
21-127,BS in Information Systems---Technical Core---Mathematics
21-240,BS in Information Systems---Technical Core---Mathematics
80-210,BS in Information Systems---Technical Core---Mathematics
15-110,BS in Information Systems---Technical Core---Computer Science Requirement
15-112,BS in Information Systems---Technical Core---Computer Science Requirement
15-121,BS in Information Systems---Technical Core---Computer Science Requirement
15-122,BS in Information Systems---Technical Core---Computer Science Requirement
67-100,BS in Information Systems---Information Systems Core---First Year Colloquium
67-250,BS in Information Systems---Information Systems Core---Information Systems Milieux
67-262,BS in Information Systems---Information Systems Core---Database Design and Development
67-272,BS in Information Systems---Information Systems Core---Application Design and Development
05-391,BS in Information Systems---Information Systems Core---HCI Requirement
05-410,BS in Information Systems---Information Systems Core---HCI Requirement
05-452,BS in Information Systems---Information Systems Core---HCI Requirement
05-897,BS in Information Systems---Information Systems Core---HCI Requirement
17-313,BS in Information Systems---Information Systems Core---Foundations of Software Engineering
67-373,BS in Information Systems---Information Systems Core---Information Systems Consulting Project
67-382,BS in Information Systems---Information Systems Core---Managing Digital Transformation
95-422,BS in Information Systems---Information Systems Core---Managing Digital Transformation
36-315,BS in Information Systems---Information Systems Breadth---Professional Communications
51-261,BS in Information Systems---Information Systems Breadth---Professional Communications
51-262,BS in Information Systems---Information Systems Breadth---Professional Communications
67-202,BS in Information Systems---Information Systems Breadth---Professional Communications
67-265,BS in Information Systems---Information Systems Breadth---Professional Communications
67-338,BS in Information Systems---Information Systems Breadth---Professional Communications
70-321,BS in Information Systems---Information Systems Breadth---Professional Communications
70-340,BS in Information Systems---Information Systems Breadth---Professional Communications
70-341,BS in Information Systems---Information Systems Breadth---Professional Communications
70-342,BS in Information Systems---Information Systems Breadth---Professional Communications
76-270,BS in Information Systems---Information Systems Breadth---Professional Communications
84-250,BS in Information Systems---Information Systems Breadth---Professional Communications
85-341,BS in Information Systems---Information Systems Breadth---Professional Communications
88-341,BS in Information Systems---Information Systems Breadth---Professional Communications
88-418,BS in Information Systems---Information Systems Breadth---Professional Communications
88-419,BS in Information Systems---Information Systems Breadth---Professional Communications
21-257,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-202,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-208,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-225,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-303,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-309,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-315,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-350,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-401,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
36-402,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
67-357,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
67-364,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
70-208,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
73-265,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
80-305,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
88-223,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
88-251,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
88-252,BS in Information Systems---Information Systems Breadth---Quantitative Analysis and Research Methods
05-470,BS in Information Systems---Information Systems Breadth---Innovation and Entrepreneurship
17-356,BS in Information Systems---Information Systems Breadth---Innovation and Entrepreneurship
67-443,BS in Information Systems---Information Systems Breadth---Innovation and Entrepreneurship
67-474,BS in Information Systems---Information Systems Breadth---Innovation and Entrepreneurship
11-685,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Technical Core
15-281,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Technical Core
15-288,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Technical Core
36-315,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Technical Core
67-364,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Technical Core
11-411,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
15-282,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
67-212,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
67-379,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
67-357,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
67-410,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
70-374,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
70-469,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
70-462,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
73-265,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Data Science Applications
67-426,BS in Information Systems---Concentration---Data Science---Data Science Concentration---Summative Course
67-318,"BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Enabling Methods, Techniques and Tools"
67-323,"BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Enabling Methods, Techniques and Tools"
67-352,"BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Enabling Methods, Techniques and Tools"
70-443,"BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Enabling Methods, Techniques and Tools"
67-220,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Orthogonal Topics
67-354,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Orthogonal Topics
70-318,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Orthogonal Topics
70-387,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Orthogonal Topics
70-342,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Orthogonal Topics
67-425,BS in Information Systems---Concentration---Digitalization---Digitalization Concentration---Summative Course
15-316,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-223,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-380,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-301,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-367,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-384,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
67-404,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Technical Core
17-334,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Regulatory and Behavioral Core
67-313,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Regulatory and Behavioral Core
67-415,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Regulatory and Behavioral Core
67-427,BS in Information Systems---Concentration---Information Security and Privacy---Information Security and Privacy Concentration---Summative Course
99-102,Qatar Information Systems - General Education - 2024+---General Education---Core@CMU
76-101,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Communication
76-102,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Communication
76-106,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Communication---Mini Courses
76-107,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Communication---Mini Courses
76-108,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Communication---Mini Courses
36-200,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Data Analysis
36-202,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Data Analysis
70-207,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Data Analysis
15-104,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
15-110,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
15-112,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
17-200,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
17-450,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
19-211,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
36-202,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
67-220,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
67-240,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
70-455,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
73-265,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
76-314,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
76-388,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
80-325,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
82-387,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
84-267,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
88-300,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
88-312,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Computational Thinking
70-334,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
76-245,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
76-247,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
76-259,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-149,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-204,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-211,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-212,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-220,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-225,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-248,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-262,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-265,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-297,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-300,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-314,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-367,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-392,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-393,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-415,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
79-419,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
80-330,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-180,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-215,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-234,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-253,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-270,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-273,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-281,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-294,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-295,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
82-297,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-319,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-324,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-325,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-328,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-336,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-355,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-365,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-380,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-387,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-389,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
84-393,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
85-221,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
85-241,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
88-234,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Contextual Thinking
76-289,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
76-324,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
76-357,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
76-386,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-120,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-145,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-227,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-229,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-230,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-269,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-272,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-273,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-275,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-284,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-288,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-292,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-293,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-391,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
79-458,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-179,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-201,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-202,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-212,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-217,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-222,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-225,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-232,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-235,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-239,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-241,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-242,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-262,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-272,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-275,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-280,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-283,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-286,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-292,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-303,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-304,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-311,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-312,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-313,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-320,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-331,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-323,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-332,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-342,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-343,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-345,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-371,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
82-372,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
84-306,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
84-323,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
84-362,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Intercultural and Global Inquiry
03-113,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-120,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-124,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-125,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-128,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-129,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-132,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-133,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
03-135,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
09-108,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
09-291,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
09-303,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
09-403,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
24-291,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-100,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-104,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-114,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-115,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-120,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
33-124,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
76-328,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
79-304,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
80-221,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
80-226,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
85-105,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
85-106,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
85-219,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
85-359,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
85-360,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
88-130,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
88-275,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry
D4-001,Qatar Information Systems - General Education - 2024+---General Education---Foundations---Scientific Inquiry---D4-001
76-210,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
76-233,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-101,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-104,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-112,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-160,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-189,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-203,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-223,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-226,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-234,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-245,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-255,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-261 (F24 and beyond),Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
79-266,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
80-100,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
80-101,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
80-130,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
80-180,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
82-282,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
84-120,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities
D5-001,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities---D5-001
D5-002,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Humanities---D5-002
73-014,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Social Sciences
73-102,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Social Sciences
73-103,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Social Sciences
73-104,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Social Sciences
79-201,Qatar Information Systems - General Education - 2024+---General Education---Disciplinary Perspectives---Social Sciences
